,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Target
0,LP001872,Male,No,0,Graduate,Yes,5166,0.0,128,360,1,Semiurban,Y
1,LP001222,Female,No,0,Graduate,No,4166,0.0,116,360,0,Semiurban,N
2,LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,100,360,1,Semiurban,Y
3,LP001529,Male,Yes,0,Graduate,Yes,2577,3750.0,152,360,1,Rural,Y
4,LP001255,Male,No,0,Graduate,No,3750,0.0,113,480,1,Urban,N
5,LP002187,Male,No,0,Graduate,No,2500,0.0,96,480,1,Semiurban,N
6,LP002448,Male,Yes,0,Graduate,No,3948,1733.0,149,360,0,Rural,N
7,LP001761,Male,No,0,Graduate,Yes,6400,0.0,200,360,1,Rural,Y
8,LP001164,Female,No,0,Graduate,No,4230,0.0,112,360,1,Semiurban,N
9,LP002659,Male,Yes,3+,Graduate,No,3466,3428.0,150,360,1,Rural,Y
10,LP001606,Male,Yes,0,Graduate,No,3497,1964.0,116,360,1,Rural,Y
11,LP001917,Female,No,0,Graduate,No,1811,1666.0,54,360,1,Urban,Y
12,LP002205,Male,No,1,Graduate,No,3062,1987.0,111,180,0,Urban,N
13,LP002473,Male,Yes,0,Graduate,No,8334,0.0,160,360,1,Semiurban,N
14,LP002250,Male,Yes,0,Graduate,No,5488,0.0,125,360,1,Rural,Y
15,LP001778,Male,Yes,1,Graduate,No,3155,1779.0,140,360,1,Semiurban,Y
16,LP001656,Male,No,0,Graduate,No,12000,0.0,164,360,1,Semiurban,N
17,LP002606,Female,No,0,Graduate,No,3159,0.0,100,360,1,Semiurban,Y
18,LP002142,Female,Yes,0,Graduate,Yes,5500,0.0,105,360,0,Rural,N
19,LP001814,Male,Yes,2,Graduate,No,9703,0.0,112,360,1,Urban,Y
20,LP001836,Female,No,2,Graduate,No,3427,0.0,138,360,1,Urban,N
21,LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154,360,1,Semiurban,Y
22,LP002840,Female,No,0,Graduate,No,2378,0.0,9,360,1,Urban,N
23,LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100,360,1,Semiurban,Y
24,LP002175,Male,Yes,0,Graduate,No,4750,2333.0,130,360,1,Urban,Y
25,LP001888,Female,No,0,Graduate,No,3237,0.0,30,360,1,Urban,Y
26,LP002051,Male,Yes,0,Graduate,No,2400,2167.0,115,360,1,Semiurban,Y
27,LP001640,Male,Yes,0,Graduate,Yes,39147,4750.0,120,360,1,Semiurban,Y
28,LP001954,Female,Yes,1,Graduate,No,4666,0.0,135,360,1,Urban,Y
29,LP001811,Male,Yes,0,Not Graduate,No,3406,4417.0,123,360,1,Semiurban,Y
30,LP002723,Male,No,2,Graduate,No,3588,0.0,110,360,0,Rural,N
31,LP001877,Male,Yes,2,Graduate,No,4708,1387.0,150,360,1,Semiurban,Y
32,LP002434,Male,Yes,2,Not Graduate,No,4652,0.0,110,360,1,Rural,Y
33,LP001910,Male,No,1,Not Graduate,Yes,4053,2426.0,158,360,0,Urban,N
34,LP002505,Male,Yes,0,Graduate,No,4333,2451.0,110,360,1,Urban,N
35,LP001343,Male,Yes,0,Graduate,No,1759,3541.0,131,360,1,Semiurban,Y
36,LP002755,Male,Yes,1,Not Graduate,No,2239,2524.0,128,360,1,Urban,Y
37,LP001904,Male,Yes,0,Graduate,No,3103,1300.0,80,360,1,Urban,Y
38,LP002467,Male,Yes,0,Graduate,No,3708,2569.0,173,360,1,Urban,N
39,LP002129,Male,Yes,0,Graduate,No,2499,2458.0,160,360,1,Semiurban,Y
40,LP002004,Male,No,0,Not Graduate,No,2927,2405.0,111,360,1,Semiurban,Y
41,LP001432,Male,Yes,2,Graduate,No,2957,0.0,81,360,1,Semiurban,Y
42,LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216,360,0,Urban,N
43,LP002743,Female,No,0,Graduate,No,2138,0.0,99,360,0,Semiurban,N
44,LP001333,Male,Yes,0,Graduate,No,1977,997.0,50,360,1,Semiurban,Y
45,LP001677,Male,No,2,Graduate,No,4923,0.0,166,360,0,Semiurban,Y
46,LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144,360,1,Urban,Y
47,LP001698,Male,No,0,Not Graduate,No,3975,2531.0,55,360,1,Rural,Y
48,LP002407,Female,Yes,0,Not Graduate,Yes,7142,0.0,138,360,1,Rural,Y
49,LP001519,Female,No,0,Graduate,No,10000,1666.0,225,360,1,Rural,N
50,LP001894,Male,Yes,0,Graduate,No,2620,2223.0,150,360,1,Semiurban,Y
51,LP002959,Female,Yes,1,Graduate,No,12000,0.0,496,360,1,Semiurban,Y
52,LP001726,Male,Yes,0,Graduate,No,3727,1775.0,131,360,1,Semiurban,Y
53,LP001963,Male,Yes,1,Graduate,No,2014,2925.0,113,360,1,Urban,N
54,LP001482,Male,Yes,0,Graduate,Yes,3459,0.0,25,120,1,Semiurban,Y
55,LP001751,Male,Yes,0,Graduate,No,3250,0.0,170,360,1,Rural,N
56,LP002689,Male,Yes,2,Not Graduate,No,2192,1742.0,45,360,1,Semiurban,Y
57,LP002798,Male,Yes,0,Graduate,No,3887,2669.0,162,360,1,Semiurban,Y
58,LP001636,Male,Yes,0,Graduate,No,4600,0.0,73,180,1,Semiurban,Y
59,LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y
60,LP002487,Male,Yes,0,Graduate,No,3015,2188.0,153,360,1,Rural,Y
61,LP001713,Male,Yes,1,Graduate,Yes,7787,0.0,240,360,1,Urban,Y
62,LP001841,Male,No,0,Not Graduate,Yes,2583,2167.0,104,360,1,Rural,Y
63,LP001758,Male,Yes,2,Graduate,No,6250,1695.0,210,360,1,Semiurban,Y
64,LP002804,Female,Yes,0,Graduate,No,4180,2306.0,182,360,1,Semiurban,Y
65,LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258,360,1,Semiurban,N
66,LP002795,Male,Yes,3+,Graduate,Yes,10139,0.0,260,360,1,Semiurban,Y
67,LP002139,Male,Yes,0,Graduate,No,9083,0.0,228,360,1,Semiurban,Y
68,LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66,360,1,Urban,Y
69,LP001144,Male,Yes,0,Graduate,No,5821,0.0,144,360,1,Urban,Y
70,LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110,360,1,Urban,Y
71,LP001955,Female,No,0,Graduate,No,5000,2541.0,151,480,1,Rural,N
72,LP002097,Male,No,1,Graduate,No,4384,1793.0,117,360,1,Urban,Y
73,LP001931,Female,No,0,Graduate,No,4124,0.0,115,360,1,Semiurban,Y
74,LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95,360,1,Urban,Y
75,LP001179,Male,Yes,2,Graduate,No,4616,0.0,134,360,1,Urban,N
76,LP002314,Female,No,0,Not Graduate,No,2213,0.0,66,360,1,Rural,Y
77,LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172,360,1,Urban,Y
78,LP002585,Male,Yes,0,Graduate,No,3597,2157.0,119,360,0,Rural,N
79,LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110,360,1,Semiurban,Y
80,LP002634,Female,No,1,Graduate,No,13262,0.0,40,360,1,Urban,Y
81,LP001925,Female,No,0,Graduate,Yes,2600,1717.0,99,300,1,Semiurban,N
82,LP001518,Male,Yes,1,Graduate,No,1538,1425.0,30,360,1,Urban,Y
83,LP002777,Male,Yes,0,Graduate,No,2785,2016.0,110,360,1,Rural,Y
84,LP001994,Female,No,0,Graduate,No,2400,1863.0,104,360,0,Urban,N
85,LP002690,Male,No,0,Graduate,No,2500,0.0,55,360,1,Semiurban,Y
86,LP001532,Male,Yes,2,Not Graduate,No,2281,0.0,113,360,1,Rural,N
87,LP001289,Male,No,0,Graduate,No,8566,0.0,210,360,1,Urban,Y
88,LP002229,Male,No,0,Graduate,No,5941,4232.0,296,360,1,Semiurban,Y
89,LP002158,Male,Yes,0,Not Graduate,No,3000,1666.0,100,480,0,Urban,N
90,LP002201,Male,Yes,2,Graduate,Yes,9323,7873.0,380,300,1,Rural,Y
91,LP002287,Female,No,0,Graduate,No,1500,1800.0,103,360,0,Semiurban,N
92,LP002231,Female,No,0,Graduate,No,6000,0.0,156,360,1,Urban,Y
93,LP002429,Male,Yes,1,Graduate,Yes,3466,1210.0,130,360,1,Rural,Y
94,LP001577,Female,Yes,0,Graduate,No,4583,0.0,112,360,1,Rural,N
95,LP001691,Male,Yes,2,Not Graduate,No,3917,0.0,124,360,1,Semiurban,Y
96,LP002459,Male,Yes,0,Graduate,No,4301,0.0,118,360,1,Urban,Y
97,LP001430,Female,No,0,Graduate,No,4166,0.0,44,360,1,Semiurban,Y
98,LP002224,Male,No,0,Graduate,No,3069,0.0,71,480,1,Urban,N
99,LP002958,Male,No,0,Graduate,No,3676,4301.0,172,360,1,Rural,Y
100,LP002006,Female,No,0,Graduate,No,2507,0.0,56,360,1,Rural,Y
101,LP002772,Male,No,0,Graduate,No,2526,1783.0,145,360,1,Rural,Y
102,LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191,360,1,Semiurban,Y
103,LP001248,Male,No,0,Graduate,No,3500,0.0,81,300,1,Semiurban,Y
104,LP002082,Male,Yes,0,Graduate,Yes,5818,2160.0,184,360,1,Semiurban,Y
105,LP002836,Male,No,0,Graduate,No,3333,0.0,70,360,1,Urban,Y
106,LP002936,Male,Yes,0,Graduate,No,3859,3300.0,142,180,1,Rural,Y
107,LP001439,Male,Yes,0,Not Graduate,No,4300,2014.0,194,360,1,Rural,Y
108,LP002364,Male,Yes,0,Graduate,No,14880,0.0,96,360,1,Semiurban,Y
109,LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131,360,1,Semiurban,Y
110,LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,187,360,1,Semiurban,Y
111,LP002767,Male,Yes,0,Graduate,No,2768,1950.0,155,360,1,Rural,Y
112,LP002337,Female,No,0,Graduate,No,2995,0.0,60,360,1,Urban,Y
113,LP002893,Male,No,0,Graduate,No,1836,33837.0,90,360,1,Urban,N
114,LP001936,Male,Yes,0,Graduate,No,3075,2416.0,139,360,1,Rural,Y
115,LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93,360,0,Urban,N
116,LP002820,Male,Yes,0,Graduate,No,5923,2054.0,211,360,1,Rural,Y
117,LP001871,Female,No,0,Graduate,No,7200,0.0,120,360,1,Rural,Y
118,LP001493,Male,Yes,2,Not Graduate,No,4200,1430.0,129,360,1,Rural,N
119,LP001639,Female,Yes,0,Graduate,No,3625,0.0,108,360,1,Semiurban,Y
120,LP002683,Male,No,0,Graduate,No,4683,1915.0,185,360,1,Semiurban,N
121,LP001451,Male,Yes,1,Graduate,Yes,10513,3850.0,160,180,0,Urban,N
122,LP002161,Female,No,1,Graduate,No,4723,0.0,81,360,1,Semiurban,N
123,LP001516,Female,Yes,2,Graduate,No,14866,0.0,70,360,1,Urban,Y
124,LP002484,Male,Yes,3+,Graduate,No,7740,0.0,128,180,1,Urban,Y
125,LP002813,Female,Yes,1,Graduate,Yes,19484,0.0,600,360,1,Semiurban,Y
126,LP001924,Male,No,0,Graduate,No,3158,3053.0,89,360,1,Rural,Y
127,LP002602,Male,No,0,Graduate,No,6283,4416.0,209,360,0,Rural,N
128,LP002262,Male,Yes,3+,Graduate,No,9504,0.0,275,360,1,Rural,Y
129,LP002035,Male,Yes,2,Graduate,No,3717,0.0,120,360,1,Semiurban,Y
130,LP001119,Male,No,0,Graduate,No,3600,0.0,80,360,1,Urban,N
131,LP002652,Male,No,0,Graduate,No,5815,3666.0,311,360,1,Rural,N
132,LP002842,Male,Yes,1,Graduate,No,3417,1750.0,186,360,1,Urban,Y
133,LP002894,Female,Yes,0,Graduate,No,3166,0.0,36,360,1,Semiurban,Y
134,LP001722,Male,Yes,0,Graduate,No,150,1800.0,135,360,1,Rural,N
135,LP001630,Male,No,0,Not Graduate,No,2333,1451.0,102,480,0,Urban,N
136,LP002527,Male,Yes,2,Graduate,Yes,16525,1014.0,150,360,1,Rural,Y
137,LP002692,Male,Yes,3+,Graduate,Yes,5677,1424.0,100,360,1,Rural,Y
138,LP002277,Female,No,0,Graduate,No,3180,0.0,71,360,0,Urban,N
139,LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144,360,1,Semiurban,Y
140,LP001825,Male,Yes,0,Graduate,No,1809,1868.0,90,360,1,Urban,Y
141,LP002821,Male,No,0,Not Graduate,Yes,5800,0.0,132,360,1,Semiurban,Y
142,LP002517,Male,Yes,1,Not Graduate,No,2653,1500.0,113,180,0,Rural,N
143,LP001528,Male,No,0,Graduate,No,6277,0.0,118,360,0,Rural,N
144,LP002911,Male,Yes,1,Graduate,No,2787,1917.0,146,360,0,Rural,N
145,LP001508,Male,Yes,2,Graduate,No,11757,0.0,187,180,1,Urban,Y
146,LP001334,Male,Yes,0,Not Graduate,No,4188,0.0,115,180,1,Semiurban,Y
147,LP001692,Female,No,0,Not Graduate,No,4408,0.0,120,360,1,Semiurban,Y
148,LP001233,Male,Yes,1,Graduate,No,10750,0.0,312,360,1,Urban,Y
149,LP002615,Male,Yes,2,Graduate,No,4865,5624.0,208,360,1,Semiurban,Y
150,LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349,360,1,Semiurban,N
151,LP002603,Female,No,0,Graduate,No,645,3683.0,113,480,1,Rural,Y
152,LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88,360,1,Urban,Y
153,LP001882,Male,Yes,3+,Graduate,No,4333,1811.0,160,360,0,Urban,Y
154,LP002990,Female,No,0,Graduate,Yes,4583,0.0,133,360,0,Semiurban,N
155,LP002948,Male,Yes,2,Graduate,No,5780,0.0,192,360,1,Urban,Y
156,LP001993,Female,No,0,Graduate,No,3762,1666.0,135,360,1,Rural,Y
157,LP002961,Male,Yes,1,Graduate,No,3400,2500.0,173,360,1,Semiurban,Y
158,LP002938,Male,Yes,0,Graduate,Yes,16120,0.0,260,360,1,Urban,Y
159,LP002940,Male,No,0,Not Graduate,No,3833,0.0,110,360,1,Rural,Y
160,LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128,360,1,Rural,N
161,LP001570,Male,Yes,2,Graduate,No,4167,1447.0,158,360,1,Rural,Y
162,LP002716,Male,No,0,Not Graduate,No,6783,0.0,130,360,1,Semiurban,Y
163,LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114,360,1,Semiurban,Y
164,LP001385,Male,No,0,Graduate,No,5316,0.0,136,360,1,Urban,Y
165,LP001844,Male,No,0,Graduate,Yes,16250,0.0,192,360,0,Urban,N
166,LP002472,Male,No,2,Graduate,No,4354,0.0,136,360,1,Rural,Y
167,LP001947,Male,Yes,0,Graduate,No,2383,3334.0,172,360,1,Semiurban,Y
168,LP002387,Male,Yes,0,Graduate,No,2425,2340.0,143,360,1,Semiurban,Y
169,LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0.0,130,360,1,Rural,Y
170,LP002368,Male,Yes,2,Graduate,No,5935,0.0,133,360,1,Semiurban,Y
171,LP001807,Male,Yes,2,Graduate,Yes,6250,1300.0,108,360,1,Rural,Y
172,LP001896,Male,Yes,2,Graduate,No,3900,0.0,90,360,1,Semiurban,Y
173,LP002068,Male,No,0,Graduate,No,4917,0.0,130,360,0,Rural,Y
174,LP001478,Male,No,0,Graduate,No,2718,0.0,70,360,1,Semiurban,Y
175,LP001653,Male,No,0,Not Graduate,No,4885,0.0,48,360,1,Rural,Y
176,LP001579,Male,No,0,Graduate,No,2237,0.0,63,480,0,Semiurban,N
177,LP001325,Male,No,0,Not Graduate,No,3620,0.0,25,120,1,Semiurban,Y
178,LP001900,Male,Yes,1,Graduate,No,2750,1842.0,115,360,1,Semiurban,Y
179,LP002266,Male,Yes,2,Graduate,No,3100,1400.0,113,360,1,Urban,Y
180,LP001903,Male,Yes,0,Graduate,No,3993,3274.0,207,360,1,Semiurban,Y
181,LP001790,Female,No,1,Graduate,No,3812,0.0,112,360,1,Rural,Y
182,LP002408,Male,No,0,Graduate,No,3660,5064.0,187,360,1,Semiurban,Y
183,LP002974,Male,Yes,0,Graduate,No,3232,1950.0,108,360,1,Rural,Y
184,LP002862,Male,Yes,2,Not Graduate,No,6125,1625.0,187,480,1,Semiurban,N
185,LP002390,Male,No,0,Graduate,No,3750,0.0,100,360,1,Urban,Y
186,LP001664,Male,No,0,Graduate,No,4191,0.0,120,360,1,Rural,Y
187,LP001720,Male,Yes,3+,Not Graduate,No,3850,983.0,100,360,1,Semiurban,Y
188,LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168,360,1,Urban,Y
189,LP002119,Male,Yes,1,Not Graduate,No,4554,1229.0,158,360,1,Urban,Y
190,LP002524,Male,No,2,Graduate,No,5532,4648.0,162,360,1,Rural,Y
191,LP002244,Male,Yes,0,Graduate,No,2333,2417.0,136,360,1,Urban,Y
192,LP002225,Male,Yes,2,Graduate,No,5391,0.0,130,360,1,Urban,Y
193,LP001565,Male,Yes,1,Graduate,No,3089,1280.0,121,360,0,Semiurban,N
194,LP002768,Male,No,0,Not Graduate,No,3358,0.0,80,36,1,Semiurban,N
195,LP002170,Male,Yes,2,Graduate,No,5000,3667.0,236,360,1,Semiurban,Y
196,LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96,360,1,Semiurban,Y
197,LP002837,Male,Yes,3+,Graduate,No,3400,2500.0,123,360,0,Rural,N
198,LP001197,Male,Yes,0,Graduate,No,3366,2200.0,135,360,1,Rural,N
199,LP002328,Male,Yes,0,Not Graduate,No,6096,0.0,218,360,0,Rural,N
200,LP001157,Female,No,0,Graduate,No,3086,0.0,120,360,1,Semiurban,Y
201,LP002377,Female,No,1,Graduate,Yes,8624,0.0,150,360,1,Semiurban,Y
202,LP002053,Male,Yes,3+,Graduate,No,4342,189.0,124,360,1,Semiurban,Y
203,LP001859,Male,Yes,0,Graduate,No,14683,2100.0,304,360,1,Rural,N
204,LP001520,Male,Yes,0,Graduate,No,4860,830.0,125,360,1,Semiurban,Y
205,LP001322,Male,No,0,Graduate,No,4133,0.0,122,360,1,Semiurban,Y
206,LP001849,Male,No,0,Not Graduate,No,6045,0.0,115,360,0,Rural,N
207,LP001953,Male,Yes,1,Graduate,No,6875,0.0,200,360,1,Semiurban,Y
208,LP002693,Male,Yes,2,Graduate,Yes,7948,7166.0,480,360,1,Rural,Y
209,LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120,360,1,Urban,Y
210,LP001120,Male,No,0,Graduate,No,1800,1213.0,47,360,1,Urban,Y
211,LP001813,Male,No,0,Graduate,Yes,6050,4333.0,120,180,1,Urban,N
212,LP001131,Male,Yes,0,Graduate,No,3941,2336.0,134,360,1,Semiurban,Y
213,LP002138,Male,Yes,0,Graduate,No,2625,6250.0,187,360,1,Rural,Y
214,LP001891,Male,Yes,0,Graduate,No,11146,0.0,136,360,1,Urban,Y
215,LP001489,Female,Yes,0,Graduate,No,4583,0.0,84,360,1,Rural,N
216,LP001974,Female,No,0,Graduate,No,5000,0.0,132,360,1,Rural,Y
217,LP001206,Male,Yes,3+,Graduate,No,3029,0.0,99,360,1,Urban,Y
218,LP002776,Female,No,0,Graduate,No,5000,0.0,103,360,0,Semiurban,N
219,LP002301,Female,No,0,Graduate,Yes,7441,0.0,194,360,1,Rural,N
220,LP002067,Male,Yes,1,Graduate,Yes,8666,4983.0,376,360,0,Rural,N
221,LP002705,Male,Yes,0,Graduate,No,3775,0.0,110,360,1,Semiurban,Y
222,LP001146,Female,Yes,0,Graduate,No,2645,3440.0,120,360,0,Urban,N
223,LP001279,Male,No,0,Graduate,No,2366,2531.0,136,360,1,Semiurban,Y
224,LP001267,Female,Yes,2,Graduate,No,1378,1881.0,167,360,1,Urban,N
225,LP002741,Female,Yes,1,Graduate,No,4608,2845.0,140,180,1,Semiurban,Y
226,LP002731,Female,No,0,Not Graduate,Yes,18165,0.0,125,360,1,Urban,Y
227,LP002529,Male,Yes,2,Graduate,No,6700,1750.0,230,300,1,Semiurban,Y
228,LP001716,Male,Yes,0,Graduate,No,3173,3021.0,137,360,1,Urban,Y
229,LP002984,Male,Yes,2,Graduate,No,7583,0.0,187,360,1,Urban,Y
230,LP001824,Male,Yes,1,Graduate,No,2882,1843.0,123,480,1,Semiurban,Y
231,LP002296,Male,No,0,Not Graduate,No,2755,0.0,65,300,1,Rural,N
232,LP002317,Male,Yes,3+,Graduate,No,81000,0.0,360,360,0,Rural,N
233,LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97,360,1,Semiurban,Y
234,LP002332,Male,Yes,0,Not Graduate,No,2253,2033.0,110,360,1,Rural,Y
235,LP002582,Female,No,0,Not Graduate,Yes,17263,0.0,225,360,1,Semiurban,Y
236,LP001711,Male,Yes,3+,Graduate,No,3430,1250.0,128,360,0,Semiurban,N
237,LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110,360,1,Urban,N
238,LP002720,Male,Yes,3+,Graduate,No,4281,0.0,100,360,1,Urban,Y
239,LP002855,Male,Yes,2,Graduate,No,16666,0.0,275,360,1,Urban,Y
240,LP002446,Male,Yes,2,Not Graduate,No,2309,1255.0,125,360,0,Rural,N
241,LP001552,Male,Yes,0,Graduate,No,4583,5625.0,255,360,1,Semiurban,Y
242,LP002366,Male,Yes,0,Graduate,No,2666,4300.0,121,360,1,Rural,Y
243,LP002571,Male,No,0,Not Graduate,No,3691,0.0,110,360,1,Rural,Y
244,LP002197,Male,Yes,2,Graduate,No,5185,0.0,155,360,1,Semiurban,Y
245,LP002418,Male,No,3+,Not Graduate,No,4707,1993.0,148,360,1,Semiurban,Y
246,LP002738,Male,No,2,Graduate,No,3617,0.0,107,360,1,Semiurban,Y
247,LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267,360,1,Urban,Y
248,LP002519,Male,Yes,3+,Graduate,No,4691,0.0,100,360,1,Semiurban,Y
249,LP002586,Female,Yes,1,Graduate,No,3326,913.0,105,84,1,Semiurban,Y
250,LP001487,Male,No,0,Graduate,No,4895,0.0,102,360,1,Semiurban,Y
251,LP001535,Male,No,0,Graduate,No,3254,0.0,50,360,1,Urban,Y
252,LP001369,Male,Yes,2,Graduate,No,11417,1126.0,225,360,1,Urban,Y
253,LP002789,Male,Yes,0,Graduate,No,3593,4266.0,132,180,0,Rural,N
254,LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104,360,0,Urban,N
255,LP002807,Male,Yes,2,Not Graduate,No,3675,242.0,108,360,1,Semiurban,Y
256,LP001572,Male,Yes,0,Graduate,No,9323,0.0,75,180,1,Urban,Y
257,LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122,360,1,Semiurban,Y
258,LP001543,Male,Yes,1,Graduate,No,9538,0.0,187,360,1,Urban,Y
259,LP002534,Female,No,0,Not Graduate,No,4350,0.0,154,360,1,Rural,Y
260,LP002361,Male,Yes,0,Graduate,No,1820,1719.0,100,360,1,Urban,Y
261,LP002116,Female,No,0,Graduate,No,2378,0.0,46,360,1,Rural,N
262,LP002265,Male,Yes,2,Not Graduate,No,1993,1625.0,113,180,1,Semiurban,Y
263,LP001024,Male,Yes,2,Graduate,No,3200,700.0,70,360,1,Urban,Y
264,LP001633,Male,Yes,1,Graduate,No,6400,7250.0,180,360,0,Urban,N
265,LP001086,Male,No,0,Not Graduate,No,1442,0.0,35,360,1,Urban,N
266,LP002714,Male,No,1,Not Graduate,No,2679,1302.0,94,360,1,Semiurban,Y
267,LP002180,Male,No,0,Graduate,Yes,6822,0.0,141,360,1,Rural,Y
268,LP001843,Male,Yes,1,Not Graduate,No,2661,7101.0,279,180,1,Semiurban,Y
269,LP002115,Male,Yes,3+,Not Graduate,No,2647,1587.0,173,360,1,Rural,N
270,LP002315,Male,Yes,1,Graduate,No,8300,0.0,152,300,0,Semiurban,N
271,LP002626,Male,Yes,0,Graduate,Yes,2479,3013.0,188,360,1,Urban,Y
272,LP001608,Male,Yes,2,Graduate,No,2045,1619.0,101,360,1,Rural,Y
273,LP002555,Male,Yes,2,Graduate,Yes,4583,2083.0,160,360,1,Semiurban,Y
274,LP001914,Male,Yes,0,Graduate,No,3927,800.0,112,360,1,Semiurban,Y
275,LP002545,Male,No,2,Graduate,No,3547,0.0,80,360,0,Rural,N
276,LP001580,Male,Yes,2,Graduate,No,8000,0.0,200,360,1,Semiurban,Y
277,LP001032,Male,No,0,Graduate,No,4950,0.0,125,360,1,Urban,Y
278,LP001938,Male,Yes,2,Graduate,No,4400,0.0,127,360,0,Semiurban,N
279,LP001658,Male,No,0,Graduate,No,3858,0.0,76,360,1,Semiurban,Y
280,LP002347,Male,Yes,0,Graduate,No,3246,1417.0,138,360,1,Semiurban,Y
281,LP002348,Male,Yes,0,Graduate,No,5829,0.0,138,360,1,Rural,Y
282,LP002600,Male,Yes,1,Graduate,Yes,2895,0.0,95,360,1,Semiurban,Y
283,LP001657,Male,Yes,0,Not Graduate,No,6033,0.0,160,360,1,Urban,N
284,LP002739,Male,Yes,0,Not Graduate,No,2917,536.0,66,360,1,Rural,N
285,LP002098,Male,No,0,Graduate,No,2935,0.0,98,360,1,Semiurban,Y
286,LP002619,Male,Yes,0,Not Graduate,No,3814,1483.0,124,300,1,Semiurban,Y
287,LP002398,Male,No,0,Graduate,No,1926,1851.0,50,360,1,Semiurban,Y
288,LP002234,Male,No,0,Graduate,Yes,7167,0.0,128,360,1,Urban,Y
289,LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315,360,1,Urban,Y
290,LP001806,Male,No,0,Graduate,No,2965,5701.0,155,60,1,Urban,Y
291,LP001228,Male,No,0,Not Graduate,No,3200,2254.0,126,180,0,Urban,N
292,LP001318,Male,Yes,2,Graduate,No,6250,5654.0,188,180,1,Semiurban,Y
293,LP002219,Male,Yes,3+,Graduate,No,8750,4996.0,130,360,1,Rural,Y
294,LP002300,Female,No,0,Not Graduate,No,1963,0.0,53,360,1,Semiurban,Y
295,LP001641,Male,Yes,1,Graduate,Yes,2178,0.0,66,300,0,Rural,N
296,LP002792,Male,Yes,1,Graduate,No,5468,1032.0,26,360,1,Semiurban,Y
297,LP002181,Male,No,0,Not Graduate,No,6216,0.0,133,360,1,Rural,N
298,LP002087,Female,No,0,Graduate,No,2500,0.0,67,360,1,Urban,Y
299,LP002978,Female,No,0,Graduate,No,2900,0.0,71,360,1,Rural,Y
300,LP002874,Male,No,0,Graduate,No,3229,2739.0,110,360,1,Urban,Y
301,LP001868,Male,No,0,Graduate,No,2060,2209.0,134,360,1,Semiurban,Y
302,LP002912,Male,Yes,1,Graduate,No,4283,3000.0,172,84,1,Rural,N
303,LP001798,Male,Yes,2,Graduate,No,5819,5000.0,120,360,1,Rural,Y
304,LP001699,Male,No,0,Graduate,No,2479,0.0,59,360,1,Urban,Y
305,LP001151,Female,No,0,Graduate,No,4000,2275.0,144,360,1,Semiurban,Y
306,LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Y
