,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,59,6.6,2.9,4.6,1.3,Iris-versicolor
1,112,6.4,2.7,5.3,1.9,Iris-virginica
2,118,7.7,3.8,6.7,2.2,Iris-virginica
3,8,5.0,3.4,1.5,0.2,Iris-setosa
4,85,5.4,3.0,4.5,1.5,Iris-versicolor
5,69,6.2,2.2,4.5,1.5,Iris-versicolor
6,139,6.0,3.0,4.8,1.8,Iris-virginica
7,33,5.2,4.1,1.5,0.1,Iris-setosa
8,134,6.3,2.8,5.1,1.5,Iris-virginica
9,29,5.2,3.4,1.4,0.2,Iris-setosa
10,88,6.3,2.3,4.4,1.3,Iris-versicolor
11,10,4.9,3.1,1.5,0.1,Iris-setosa
12,137,6.3,3.4,5.6,2.4,Iris-virginica
13,83,5.8,2.7,3.9,1.2,Iris-versicolor
14,12,4.8,3.4,1.6,0.2,Iris-setosa
15,86,6.0,3.4,4.5,1.6,Iris-versicolor
16,90,5.5,2.5,4.0,1.3,Iris-versicolor
17,6,5.4,3.9,1.7,0.4,Iris-setosa
18,144,6.8,3.2,5.9,2.3,Iris-virginica
19,107,4.9,2.5,4.5,1.7,Iris-virginica
20,11,5.4,3.7,1.5,0.2,Iris-setosa
21,60,5.2,2.7,3.9,1.4,Iris-versicolor
22,16,5.7,4.4,1.5,0.4,Iris-setosa
23,24,5.1,3.3,1.7,0.5,Iris-setosa
24,141,6.7,3.1,5.6,2.4,Iris-virginica
25,138,6.4,3.1,5.5,1.8,Iris-virginica
26,142,6.9,3.1,5.1,2.3,Iris-virginica
27,119,7.7,2.6,6.9,2.3,Iris-virginica
28,123,7.7,2.8,6.7,2.0,Iris-virginica
29,74,6.1,2.8,4.7,1.2,Iris-versicolor
30,93,5.8,2.6,4.0,1.2,Iris-versicolor
31,103,7.1,3.0,5.9,2.1,Iris-virginica
32,79,6.0,2.9,4.5,1.5,Iris-versicolor
33,73,6.3,2.5,4.9,1.5,Iris-versicolor
34,2,4.9,3.0,1.4,0.2,Iris-setosa
35,131,7.4,2.8,6.1,1.9,Iris-virginica
36,64,6.1,2.9,4.7,1.4,Iris-versicolor
37,27,5.0,3.4,1.6,0.4,Iris-setosa
38,68,5.8,2.7,4.1,1.0,Iris-versicolor
39,122,5.6,2.8,4.9,2.0,Iris-virginica
40,106,7.6,3.0,6.6,2.1,Iris-virginica
41,149,6.2,3.4,5.4,2.3,Iris-virginica
42,110,7.2,3.6,6.1,2.5,Iris-virginica
43,23,4.6,3.6,1.0,0.2,Iris-setosa
44,129,6.4,2.8,5.6,2.1,Iris-virginica
45,82,5.5,2.4,3.7,1.0,Iris-versicolor
46,56,5.7,2.8,4.5,1.3,Iris-versicolor
47,31,4.8,3.1,1.6,0.2,Iris-setosa
48,150,5.9,3.0,5.1,1.8,Iris-virginica
49,63,6.0,2.2,4.0,1.0,Iris-versicolor
50,50,5.0,3.3,1.4,0.2,Iris-setosa
51,130,7.2,3.0,5.8,1.6,Iris-virginica
52,78,6.7,3.0,5.0,1.7,Iris-versicolor
53,98,6.2,2.9,4.3,1.3,Iris-versicolor
54,18,5.1,3.5,1.4,0.3,Iris-setosa
55,15,5.8,4.0,1.2,0.2,Iris-setosa
56,80,5.7,2.6,3.5,1.0,Iris-versicolor
57,96,5.7,3.0,4.2,1.2,Iris-versicolor
58,143,5.8,2.7,5.1,1.9,Iris-virginica
59,100,5.7,2.8,4.1,1.3,Iris-versicolor
60,75,6.4,2.9,4.3,1.3,Iris-versicolor
61,17,5.4,3.9,1.3,0.4,Iris-setosa
62,44,5.0,3.5,1.6,0.6,Iris-setosa
63,145,6.7,3.3,5.7,2.5,Iris-virginica
64,5,5.0,3.6,1.4,0.2,Iris-setosa
65,124,6.3,2.7,4.9,1.8,Iris-virginica
66,72,6.1,2.8,4.0,1.3,Iris-versicolor
67,76,6.6,3.0,4.4,1.4,Iris-versicolor
68,114,5.7,2.5,5.0,2.0,Iris-virginica
69,42,4.5,2.3,1.3,0.3,Iris-setosa
70,55,6.5,2.8,4.6,1.5,Iris-versicolor
71,28,5.2,3.5,1.5,0.2,Iris-setosa
72,45,5.1,3.8,1.9,0.4,Iris-setosa
73,61,5.0,2.0,3.5,1.0,Iris-versicolor
74,94,5.0,2.3,3.3,1.0,Iris-versicolor
75,117,6.5,3.0,5.5,1.8,Iris-virginica
76,105,6.5,3.0,5.8,2.2,Iris-virginica
77,54,5.5,2.3,4.0,1.3,Iris-versicolor
78,132,7.9,3.8,6.4,2.0,Iris-virginica
79,41,5.0,3.5,1.3,0.3,Iris-setosa
80,52,6.4,3.2,4.5,1.5,Iris-versicolor
81,9,4.4,2.9,1.4,0.2,Iris-setosa
82,7,4.6,3.4,1.4,0.3,Iris-setosa
83,37,5.5,3.5,1.3,0.2,Iris-setosa
84,128,6.1,3.0,4.9,1.8,Iris-virginica
85,113,6.8,3.0,5.5,2.1,Iris-virginica
86,38,4.9,3.1,1.5,0.1,Iris-setosa
87,120,6.0,2.2,5.0,1.5,Iris-virginica
88,57,6.3,3.3,4.7,1.6,Iris-versicolor
89,62,5.9,3.0,4.2,1.5,Iris-versicolor
90,36,5.0,3.2,1.2,0.2,Iris-setosa
91,89,5.6,3.0,4.1,1.3,Iris-versicolor
92,140,6.9,3.1,5.4,2.1,Iris-virginica
93,1,5.1,3.5,1.4,0.2,Iris-setosa
94,53,6.9,3.1,4.9,1.5,Iris-versicolor
95,126,7.2,3.2,6.0,1.8,Iris-virginica
96,14,4.3,3.0,1.1,0.1,Iris-setosa
97,91,5.5,2.6,4.4,1.2,Iris-versicolor
98,40,5.1,3.4,1.5,0.2,Iris-setosa
99,148,6.5,3.0,5.2,2.0,Iris-virginica
100,34,5.5,4.2,1.4,0.2,Iris-setosa
101,99,5.1,2.5,3.0,1.1,Iris-versicolor
102,109,6.7,2.5,5.8,1.8,Iris-virginica
103,49,5.3,3.7,1.5,0.2,Iris-setosa
104,127,6.2,2.8,4.8,1.8,Iris-virginica
105,21,5.4,3.4,1.7,0.2,Iris-setosa
106,125,6.7,3.3,5.7,2.1,Iris-virginica
107,66,6.7,3.1,4.4,1.4,Iris-versicolor
108,104,6.3,2.9,5.6,1.8,Iris-virginica
109,22,5.1,3.7,1.5,0.4,Iris-setosa
110,46,4.8,3.0,1.4,0.3,Iris-setosa
111,111,6.5,3.2,5.1,2.0,Iris-virginica
112,70,5.6,2.5,3.9,1.1,Iris-versicolor
113,77,6.8,2.8,4.8,1.4,Iris-versicolor
114,20,5.1,3.8,1.5,0.3,Iris-setosa
115,67,5.6,3.0,4.5,1.5,Iris-versicolor
116,121,6.9,3.2,5.7,2.3,Iris-virginica
117,133,6.4,2.8,5.6,2.2,Iris-virginica
118,65,5.6,2.9,3.6,1.3,Iris-versicolor
119,47,5.1,3.8,1.6,0.2,Iris-setosa
